source,Region,Key,item_code,display_name,Markup/gkm,KVI,category,sub_category,leaf_category,PRODUCT TYPE,brand,Unit wt,Total_Inventory,Last_90day_qty_Sold,Last_90day_Sale,Last90daysale_stores_cnt,latest_MRP,CP,latest_selling,gm%,Guardrail LOWER,GUARDRAIL HIGHER,SATELLITE LOW,SATELLITE HIGH
STPLS,CG,CG104528,104528,Khetika Premium Roasted & Salted Pistachios 200 g,cost based,NON KVI,Dry Fruits & Nuts,Pista & Walnut,Pista,Pista Roasted & Salted,Khetika,0.2,146,96,31840,28,420,276,350,21%,25%,30%,,
STPLS,CG,CG104526,104526,Khetika Premium Seeds Super Mix 200 g,cost based,NON KVI,Dry Fruits & Nuts,Other Dry Fruits & Seeds,Seeds,SEED MIXES,Khetika,0.2,80,118,17552,31,225,111,149,26%,35%,40%,,
STPLS,CG,CG104533,104533,Khetika Premium Sunflower seeds 200g,cost based,NON KVI,Dry Fruits & Nuts,Other Dry Fruits & Seeds,Seeds,SUNFLOWER SEEDS,Khetika,0.2,125,71,6029,26,169,63,89,29%,35%,40%,,
STPLS,CG,CG104534,104534,Khetika Premium Walnut Broken 200g,cost based,NON KVI,Dry Fruits & Nuts,Pista & Walnut,Walnut,Walnut Kernels,Khetika,0.2,22,28,9100,19,429,261,325,20%,20%,25%,,
STPLS,CG,CG104536,104536,Khetika Watermelon seeds 200g,cost based,NON KVI,Dry Fruits & Nuts,Other Dry Fruits & Seeds,Seeds,MAGAJ SEEDS,Khetika,0.2,168,29,5941,14,299,159,209,24%,35%,40%,,
STPLS,CG,CG12391,12391,Kismis Premium 250g,cost based,NON KVI,Dry Fruits & Nuts,Raisins,Raisins,Raisins Plain,ASM,0.25,315,660,114055,33,239,133,180,26%,25%,35%,,
STPLS,CG,CG93837,93837,Kismis Raisin | 30g | Pack of 1,cost based,NON KVI,Dry Fruits & Nuts,Raisins,Raisins,Raisins Plain,ASM,0.05,765,3536,70720,33,20,15,20,25%,20%,25%,,
STPLS,CG,CG710,710,Kismis Raisin 100g,cost based,NON KVI,Dry Fruits & Nuts,Raisins,Raisins,Raisins Plain,ASM,0.1,486,2619,181499,33,79,51,61,16%,30%,35%,,
STPLS,CG,CG711,711,Kismis Raisin 250g,cost based,NON KVI,Dry Fruits & Nuts,Raisins,Raisins,Raisins Plain,ASM,0.25,342,1892,286703,33,209,128,160,20%,20%,25%,,
STPLS,CG,CG709,709,Kismis Raisin 500g,cost based,NON KVI,Dry Fruits & Nuts,Raisins,Raisins,Raisins Plain,ASM,0.5,448,851,243258,32,389,257,295,13%,10%,15%,,
STPLS,CG,CG104241,104241,Kismis Raisin Popular 500g,cost based,KVI,Dry Fruits & Nuts,Raisins,Raisins,Raisins Plain,ASM,0.5,1059,1008,243099,33,319,205,239,14%,10%,15%,12%,17%
STPLS,CG,CG12903,12903,Lion Arabian Dates 500g B1G1 Free,GKM Based,NON KVI,Dry Fruits & Nuts,Dates & Chuhara,Dates,Dates,Lion,1,460,656,161152,33,272,218,272,20%,15%,20%,,
STPLS,CG,CG12870,12870,Lion Desert King Dates 500g,GKM Based,NON KVI,Dry Fruits & Nuts,Dates & Chuhara,Dates,Dates,Lion,0.5,337,200,53320,32,280,224,280,20%,15%,20%,,
STPLS,CG,CG12911,12911,Lion Kimia Dates 500g,GKM Based,NON KVI,Dry Fruits & Nuts,Dates & Chuhara,Dates,Dates,Lion,0.5,372,496,110170,33,242,194,242,20%,15%,20%,,
STPLS,CG,CG37961,37961,Lion Qyno Dates Value Pack – Buy 250g Get 250g Extra,GKM Based,NON KVI,Dry Fruits & Nuts,Dates & Chuhara,Dates,Dates,Lion,0.5,237,1359,141194,31,116,93,116,20%,15%,20%,,
STPLS,CG,CG715,715,Magaj Watermelon Seeds 100g,cost based,NON KVI,Dry Fruits & Nuts,Other Dry Fruits & Seeds,Seeds,MAGAJ SEEDS,ASM,0.1,341,812,80374,33,129,59,99,40%,40%,45%,,
STPLS,CG,CG748,748,Mungfali Peanut Red 250g,cost based,NON KVI,Dry Fruits & Nuts,Raw Peanut,Raw Peanut,Raw Peanut Red,ASM,0.25,181,1501,88949,33,99,51,72,29%,30%,35%,,
STPLS,CG,CG749,749,Mungfali Peanut Red 500g,cost based,NON KVI,Dry Fruits & Nuts,Raw Peanut,Raw Peanut,Raw Peanut Red,ASM,0.5,56,1456,150064,32,169,102,130,22%,25%,30%,,
STPLS,CG,CG750,750,Mungfali Peanut White 250g,cost based,NON KVI,Dry Fruits & Nuts,Raw Peanut,Raw Peanut,Raw Peanut White,ASM,0.25,673,3862,199394,33,89,43,65,34%,30%,35%,,
STPLS,CG,CG751,751,Mungfali Peanut White 500g,cost based,KVI,Dry Fruits & Nuts,Raw Peanut,Raw Peanut,Raw Peanut White,ASM,0.5,625,3379,322700,33,159,86,120,28%,25%,30%,30%,35%
STPLS,CG,CG76735,76735,Organic Tattva Organic Peanuts 500g,GKM Based,NON KVI,Dry Fruits & Nuts,Raw Peanut,Raw Peanut,Organic Raw Peanut White,Organic Tattva,0.5,162,157,27632,24,185,139,166.5,17%,20%,25%,,
STPLS,CG,CG77735,77735,Pawan Brand Makhana | 250g | Pack of 1,cost based,KVI,Dry Fruits & Nuts,Makhana,Makhana Plain,Makhana Plain Regular,Pawan,0.25,341,2599,714701,33,550,193,275,30%,18%,20%,20%,22%
STPLS,CG,CG816,816,Pista Green 100g,cost based,NON KVI,Dry Fruits & Nuts,Pista & Walnut,Pista,Pista Plain,ASM,0.1,192,567,150850,33,339,221,255,13%,25%,30%,,
STPLS,CG,CG70974,70974,Pooja Supari / Betel Nuts 50g,cost based,NON KVI,Dry Fruits & Nuts,Other Dry Fruits & Seeds,Other Dry Fruits,Betel Nuts,ASM,0.5,57,29,1225,14,59,26,45,42%,35%,40%,,
STPLS,CG,CG38841,38841,Pumpkin Seeds 100g,cost based,NON KVI,Dry Fruits & Nuts,Other Dry Fruits & Seeds,Seeds,PUMPKIN SEEDS,ASM,0.1,289,1747,131025,33,99,43,75,43%,40%,45%,,
STPLS,CG,CG104108,104108,Pushti American Almond |100 g| Pack of 1,cost based,NON KVI,Dry Fruits & Nuts,Almond & Cashew,Almond,Almond Plain,Pushti,0.1,45,50,6433,13,169,116,129,10%,30%,35%,,
STPLS,CG,CG102566,102566,Pushti Anjeer Silver | 250g | Pack of 1,cost based,NON KVI,Dry Fruits & Nuts,Other Dry Fruits & Seeds,Other Dry Fruits,Anjeer,Pushti,0.25,27,135,66150,29,550,386,490,21%,25%,30%,,
STPLS,CG,CG104104,104104,Pushti Chironji Seeds |100 g| Pack of 1,cost based,NON KVI,Dry Fruits & Nuts,Other Dry Fruits & Seeds,Other Dry Fruits,CHIRAUNJI DANA,Pushti,0.1,94,48,11705,19,400,171,245,30%,40%,45%,,
STPLS,CG,CG104040,104040,Pushti Classic Collection Cashew & Almonds | 200g | Pack of 1,cost based,NON KVI,Dry Fruits & Nuts,Other Dry Fruits & Seeds,Gift Box,Gift Box,Pushti,0.2,14,4,1396,3,699,279,349,20%,20%,25%,,
STPLS,CG,CG104039,104039,Pushti Classic Collection Cashew & Raisins | 200g | Pack of 1,cost based,NON KVI,Dry Fruits & Nuts,Other Dry Fruits & Seeds,Gift Box,Gift Box,Pushti,0.2,5,0,0,0,599,235,299,21%,20%,25%,,
STPLS,CG,CG104041,104041,Pushti Classic Collection Cashew Almonds & Raisins | 300g | Pack of 1,cost based,NON KVI,Dry Fruits & Nuts,Other Dry Fruits & Seeds,Gift Box,Gift Box,Pushti,0.3,11,1,434,1,869,348,434,20%,20%,25%,,
