source,KEY,STATE,STATE KEY,item_code,display_name,master category,KVI / NKVI TAG
FMCGF,JH11600,JH,1,11600,Loreal Paris Total Repair 5 Damaged Hair shampoo 180ml,FMCGNF,KVI
FMCGF,CG11272,CG,3,11272,Colgate Strong Teeth Toothpaste (Free 15% Extra) 100 g,FMCGNF,KVI
FMCGF,WB4114,WB,2,4114,Godrej No 1 Lime And Aloevera Soap 100g 5 Pcs,FMCGNF,KVI
FMCGF,WB4093,WB,2,4093,Fiama Gel Bar Soap Blackcurrant And Bearberry | 625g| Pack of 5,FMCGNF,KVI
FMCGF,JH16574,JH,1,16574,Gillette Venus Razor Pink | 1N | Pack of 1,FMCGNF,KVI
FMCGF,CG5056,CG,3,5056,Surf Excel Easy Wash Detergent Powder 1.5 Kg,FMCGNF,KVI
FMCGF,WB4732,WB,2,4732,Himalaya Purifying Neem Face Wash | 200ml | Buy 1 Get 1 Free,FMCGNF,KVI
FMCGF,CG4261,CG,3,4261,Pitambari Copper Brass Cleaner 200g,FMCGNF,KVI
FMCGF,CG5024,CG,3,5024,Sensodyne Repair & Protect 100g,FMCGNF,KVI
FMCGF,CG23525,CG,3,23525,Sensodyne Sensitive Soft Toothbrush | Buy 2 Get 1 Free | Pack of 3,FMCGNF,KVI
