source,state,item_code,map_value,map_type,map_source,display_name,kvi_tag,mrp,current_sp
FMCGF,West Bengal,34585,230.2335,map_including_gst,MAP_DIRECT,,,,
FMCGF,West Bengal,12903,230.03925,map_including_gst,MAP_DIRECT,,,,
FMCGF,Jharkhand,944,229.7547,map_including_gst,MAP_DIRECT,,,,
FMCGF,Chhattisgarh,66271,229.0575,map_including_gst,MAP_BACKFILL,,,,
FMCGF,West Bengal,2490,228.36765,map_including_gst,MAP_DIRECT,,,,
FMCGF,Jharkhand,88931,228.354,map_including_gst,MAP_DIRECT,,,,
FMCGF,West Bengal,2831,228.34455,map_including_gst,MAP_DIRECT,,,,
FMCGF,West Bengal,944,228.333,map_including_gst,MAP_DIRECT,,,,
FMCGF,Jharkhand,2496,228.0978,map_including_gst,MAP_DIRECT,,,,
FMCGF,West Bengal,8280,228.0704,map_including_gst,MAP_DIRECT,,,,
FMCGF,Chhattisgarh,8280,228.0704,map_including_gst,MAP_DIRECT,,,,
FMCGF,Jharkhand,8325,227.7912,map_including_gst,MAP_DIRECT,,,,
FMCGF,West Bengal,73475,227.2935,map_including_gst,MAP_DIRECT,,,,
FMCGF,Jharkhand,2839,225.7983,map_including_gst,MAP_DIRECT,,,,
FMCGF,Jharkhand,11235,225.11686,map_including_gst,MAP_BACKFILL,,,,
FMCGF,Jharkhand,66153,225.0045,map_including_gst,MAP_DIRECT,,,,
FMCGF,Jharkhand,9963,224.798,map_including_gst,MAP_DIRECT,,,,
FMCGF,Jharkhand,90635,224.24325,map_including_gst,MAP_DIRECT,,,,
FMCGF,Chhattisgarh,11655,223.9545,map_including_gst,MAP_DIRECT,,,,
FMCGF,Jharkhand,29310,222.7869,map_including_gst,MAP_DIRECT,,,,
FMCGF,Jharkhand,16199,222.747,map_including_gst,MAP_DIRECT,,,,
FMCGF,West Bengal,2696,222.6063,map_including_gst,MAP_DIRECT,,,,
FMCGF,West Bengal,16199,222.46245,map_including_gst,MAP_DIRECT,,,,
FMCGF,Jharkhand,10076,222.15624,map_including_gst,MAP_DIRECT,,,,
FMCGF,Jharkhand,706,221.7306,map_including_gst,MAP_DIRECT,,,,
FMCGF,West Bengal,706,220.51785,map_including_gst,MAP_DIRECT,,,,
FMCGF,West Bengal,11655,220.50105,map_including_gst,MAP_DIRECT,,,,
FMCGF,Jharkhand,11655,220.4349,map_including_gst,MAP_DIRECT,,,,
FMCGF,Jharkhand,2599,220.1304,map_including_gst,MAP_DIRECT,,,,
FMCGF,Jharkhand,2619,220.01595,map_including_gst,MAP_DIRECT,,,,
FMCGF,Chhattisgarh,12635,219.8301,map_including_gst,MAP_DIRECT,,,,
FMCGF,West Bengal,646,219.63165,map_including_gst,MAP_DIRECT,,,,
FMCGF,Jharkhand,12903,219.5844,map_including_gst,MAP_DIRECT,,,,
FMCGF,West Bengal,1406,219.303,map_including_gst,MAP_DIRECT,,,,
FMCGF,Jharkhand,8279,219.29946,map_including_gst,MAP_DIRECT,,,,
FMCGF,Chhattisgarh,13725,219.24735,map_including_gst,MAP_BACKFILL,,,,
FMCGF,Jharkhand,8431,218.99974,map_including_gst,MAP_DIRECT,,,,
FMCGF,Jharkhand,646,218.4819,map_including_gst,MAP_DIRECT,,,,
FMCGF,Jharkhand,2405,217.6587,map_including_gst,MAP_DIRECT,,,,
FMCGF,West Bengal,104241,217.5012,map_including_gst,MAP_DIRECT,,,,
FMCGF,Jharkhand,104241,217.4949,map_including_gst,MAP_DIRECT,,,,
FMCGF,Jharkhand,2490,217.40775,map_including_gst,MAP_DIRECT,,,,
FMCGF,West Bengal,75617,216.9784,map_including_gst,MAP_DIRECT,,,,
FMCGF,Jharkhand,10784,216.73532,map_including_gst,MAP_DIRECT,,,,
FMCGF,West Bengal,2405,216.6801,map_including_gst,MAP_DIRECT,,,,
FMCGF,West Bengal,95794,216.1260438,map_including_gst,MAP_DIRECT,,,,
FMCGF,Jharkhand,2601,215.91045,map_including_gst,MAP_DIRECT,,,,
FMCGF,Jharkhand,965,214.91505,map_including_gst,MAP_DIRECT,,,,
