item_code,blinkit_url,jio_url
104005,https://blinkit.com/prn/x/prid/703821,https://www.jiomart.com/p/groceries/cad-oreo-toffee-crnch-crm-bsc-116-25g-pp/612533658
104006,https://blinkit.com/prn/x/prid/703822,https://www.jiomart.com/p/groceries/cadbury-oreo-toffee-crunch-cream-biscuits-255-75-g/612515433
10401,https://blinkit.com/prn/x/prid/351675,https://www.jiomart.com/product/ponds-bright-beauty-miracle-charcoal-detox-face-wash-50g-tube-mffmrm-7502499
104079,https://blinkit.com/prn/x/prid/536577,
104080,https://blinkit.com/prn/x/prid/520521,
10412,https://blinkit.com/prn/x/prid/68713,https://www.jiomart.com/p/groceries/lizol-floral-disinfectant-surface-cleaner-975-ml/490002755
104131,https://blinkit.com/prn/x/prid/486370,https://www.jiomart.com/p/groceries/amrutanjan-extra-power-pain-balm-7-4-g/491470001
104132,https://blinkit.com/prn/x/prid/386683,https://www.jiomart.com/p/groceries/kapiva-karela-jamun-juice-1-l/590977735
104136,https://blinkit.com/prn/x/prid/361515,https://www.jiomart.com/p/groceries/parle-hide-seek-choco-rolls-120-g/491214021
104139,https://blinkit.com/prn/x/prid/740901,https://www.jiomart.com/p/groceries/trishul-white-floor-cleaner-phenyle-strong-germonil-premium-disinfectant-mosquito-repellent-floor-cleaner-liquid-for-hospitals-homes-offices-remove-germs-dirt-bacteria-99-99-5-ltr/610888532
10414,https://blinkit.com/prn/x/prid/359300,https://www.jiomart.com/p/groceries/pears-soft-fresh-body-wash-250-ml/491321622
104164,https://blinkit.com/prn/x/prid/484813,https://www.jiomart.com/p/groceries/saffola-active-squeezy-honey-350-g-pack-of-2/607134914
104189,https://blinkit.com/prn/x/prid/82175,https://www.jiomart.com/p/groceries/mashal-mustard-oil-1-l/490052736
10419,https://blinkit.com/prn/x/prid/81123,https://www.jiomart.com/p/groceries/gillette-series-shave-gel-25-g/590835964
104213,https://blinkit.com/prn/x/prid/659940,
104214,https://blinkit.com/prn/x/prid/524860,https://www.jiomart.com/p/groceries/crax-fritts-cream-onion-corn-and-potato-sticks-82-g/602830503
104215,https://blinkit.com/prn/x/prid/524861,https://www.jiomart.com/p/groceries/crax-chatpata-masala-curls-82-g/602482579
104216,https://blinkit.com/prn/x/prid/524862,https://www.jiomart.com/p/groceries/crax-natkhat-classic-wheat-puffs-63-g/593868143
104217,https://blinkit.com/prn/x/prid/524863,https://www.jiomart.com/p/groceries/crax-natkhat-masala-wheat-puffs-82-g/602981134
104218,https://blinkit.com/prn/x/prid/518732,https://www.jiomart.com/p/groceries/crax-cheese-balls-65-g/602479772
10422,https://blinkit.com/prn/x/prid/154617,https://www.jiomart.com/p/groceries/tide-jasmine-rose-detergent-powder-1-5-kg/590813631
104220,https://blinkit.com/prn/x/prid/546583,
104221,https://blinkit.com/prn/x/prid/589245,
