State,Item Code,Item Name,Category,Sub-Category,Leaf Category,Brand,Product Type,Marketd By,Master Catgory
WB,78754,Shubhkart Tejas Round Cotton Wicks | 7g | Pack of 1,Pooja Needs,Pooja Needs,Camphor & Wicks,Shubhkart,Cotton Wicks,Shubhkart India,GM
WB,4396,Toothpick Sticks | 240 Pieces | Pack of 1,Personal Care,Oral Care,Oral Accessories,Tulips,Toothpick,Suparshva Swabs,GM
WB,93155,Uni Fresh Heavy Duty Coconut Jhadu | Pack of 1,Cleaning & Household Needs,"Mops, Brushes & Scrubs",Brooms & Dust Pans,Uni Fresh,Broom,Uni Fresh,GM
WB,100946,Washway Steel Tongue Cleaner | Regular Double Handle | Pack of 1,Personal Care,Oral Care,Oral Accessories,Washway,Tongue Cleaner,NAR Hygiene LLP,GM
JH,8508,Parrot Achar Masala - 100g,Masalas & Spices,Blended Masala,Ready Masala,Parrot,Achar Masala,Hindustan Agro Products,STPLS
JH,95149,Bolas Popular Anjeer - 250g,Dry Fruits & Nuts,Dry Fruits & Seeds,Other Dry Fruits,Bolas,Anjeer,Bolas Agro Private Limited,STPLS
JH,95356,Wheat Atta - 1Kg Loose,Flours & Grains,Flours,Wheat Flour,Loose Container,Atta,ASM,STPLS
JH,1614,Aashirvaad Multigrain Atta - 5Kg,Flours & Grains,Flours,Wheat Flour,Aashirvaad,Atta,ITC Ltd,STPLS
JH,1615,Aashirvaad Shudh Chakki Atta - 10Kg,Flours & Grains,Flours,Wheat Flour,Aashirvaad,Atta,ITC Ltd,STPLS
JH,2405,Aashirvaad Shudh Chakki Atta - 5Kg,Flours & Grains,Flours,Wheat Flour,Aashirvaad,Atta,ITC Ltd,STPLS
JH,8283,Shree Bhajan Whole Wheat Atta - 10Kg,Flours & Grains,Flours,Wheat Flour,Shree Bhajan,Atta,Local,STPLS
JH,9878,Shree Bhajan Whole Wheat Atta - 5Kg,Flours & Grains,Flours,Wheat Flour,Shree Bhajan,Atta,Local,STPLS
JH,12388,Aashirvaad Select Sharbatti Atta - 5Kg,Flours & Grains,Flours,Wheat Flour,Aashirvaad,Atta,ITC Ltd,STPLS
JH,94200,Aashirvaad Whole Wheat Atta - 1Kg,Flours & Grains,Flours,Wheat Flour,Aashirvaad,Atta,ITC Ltd,STPLS
JH,87555,Panchkanya Singham Banskati Rice - 26kg,Rice & Rice Products,Non Basmati Rice,Boiled Rice,Panchakanya,Baskati Rice,Baba Agro Food,STPLS
JH,11967,Dunar Nawazish Basmati Rice XXXL Extra Long Grain - 1Kg,Rice & Rice Products,Basmati Rice,Basmati Premium,Dunar,Basmati Rice,Dunar Foods,STPLS
JH,18308,India Gate Basmati Mogra Rice 5 Kg,Rice & Rice Products,Basmati Rice,Basmati Regular,India Gate,Basmati Rice,KRBL,STPLS
JH,27816,India Gate Basmati Rice Feast Rozzana 1 Kg,Rice & Rice Products,Basmati Rice,Basmati Regular,India Gate,Basmati Rice,KRBL,STPLS
JH,29942,India Gate Basmati Rice Select 1 kg,Rice & Rice Products,Basmati Rice,Basmati Premium,India Gate,Basmati Rice,KRBL,STPLS
JH,14684,India Gate Classic Basmati Rice - 1Kg,Rice & Rice Products,Basmati Rice,Basmati Premium,India Gate,Basmati Rice,KRBL,STPLS
JH,2611,India Gate Dubar Basmati Rice 1 Kg,Rice & Rice Products,Basmati Rice,Basmati Regular,India Gate,Basmati Rice,KRBL,STPLS
JH,14732,India Gate Mini Mogra Broken Basmati Rice Akki 5 kg,Rice & Rice Products,Basmati Rice,Basmati Regular,India Gate,Basmati Rice,KRBL,STPLS
JH,23686,India Gate Rozanna Basmati Rice 5Kg,Rice & Rice Products,Basmati Rice,Basmati Regular,India Gate,Basmati Rice,KRBL,STPLS
JH,2610,India Gate Super Basmati Rice Pouch 1Kg + 500g Free,Rice & Rice Products,Basmati Rice,Basmati Premium,India Gate,Basmati Rice,KRBL,STPLS
JH,29523,India Gate Tibar Basmati Rice 1 Kg,Rice & Rice Products,Basmati Rice,Basmati Regular,India Gate,Basmati Rice,KRBL,STPLS
JH,9661,Basmati Sella Loose Rice 1 Kg,Rice & Rice Products,Basmati Rice,Basmati Sella,Loose Container,Basmati Rice,ASM,STPLS
JH,95367,Whole Grain Basmati Rice 1 Kg Loose,Rice & Rice Products,Basmati Rice,Basmati Premium,Loose Container,Basmati Rice,ASM,STPLS
JH,2606,Fortune Biryani Special Basmati Rice Pouch - 1Kg,Rice & Rice Products,Basmati Rice,Basmati Premium,Fortune,Basmati Rice,Adani Wilmar,STPLS
JH,2621,Fortune Besan - 500g,Flours & Grains,Flours,Besan,Fortune,Besan,Adani Wilmar,STPLS
JH,2634,Jalan Chana Besan - 500g,Flours & Grains,Flours,Besan,Jalan,Besan,Jalan Flour Mills,STPLS
JH,2550,MDH Biryani Masala - 50g,Masalas & Spices,Blended Masala,Ready Masala,MDH,Biryani Masala,Mahashian Di Hatti,STPLS
JH,9970,Everest Shahi Biryani Masala - 50g,Masalas & Spices,Blended Masala,Ready Masala,Everest,Shahi Biryani Masala,Everest Food Products,STPLS
JH,2446,Parrot Golki Powder - 50g,Masalas & Spices,Straight Powder,Powdered Spices,Parrot,Black Pepper Powder,Hindustan Agro Products,STPLS
JH,2505,Everest Black Pepper Powder - 50g,Masalas & Spices,Straight Powder,Powdered Spices,Everest,Black Pepper Powder,Everest Food Products,STPLS
JH,4577,Parrot Black Salt - 100g,"Salt, Sugar & Sweeteners",Salt,Black salt,Parrot,Black Salt,Hindustan Agro Products,STPLS
JH,12888,Saffola Gold Multi Source Edible Oil - 1Ltr,"Oil, Ghee & Vanaspati",Health Oil,Blended Oil,Saffola,Blended Cooking Oil,Marico limited,STPLS
JH,81575,Saffola Active Health Losorb Refined Oil - 850g,"Oil, Ghee & Vanaspati",Health Oil,Blended Oil,Saffola,Blended Cooking Oil,Marico limited,STPLS
JH,3259,Everest Chaat Masala - 50g,Masalas & Spices,Blended Masala,Ready Masala,Everest,Chaat Masala,Everest Food Products,STPLS
JH,3302,MDH Chunky Chat Masala - 50g,Masalas & Spices,Blended Masala,Ready Masala,MDH,Chaat Masala,Mahashian Di Hatti,STPLS
JH,95357,Brown Chana Small - 1Kg,Pulses,Chana,Chana Brown,Loose Container,Chana,ASM,STPLS
JH,93937,Chana Dal - 1Kg Loose,Pulses,Chana,Chana Dal,Loose Container,Chana Dal,ASM,STPLS
JH,3300,MDH Chana Masala - 50g,Masalas & Spices,Blended Masala,Ready Masala,MDH,Chana Masala,Mahashian Di Hatti,STPLS
JH,3262,Everest Chhole Masala - 50g,Masalas & Spices,Blended Masala,Ready Masala,Everest,Chhole Masala,Everest Food Products,STPLS
JH,2636,Jalan Chana Sattu - 500g,Flours & Grains,Flours,Sattu,Jalan,Chana Sattu,Jalan Flour Mills,STPLS
JH,2641,Jalan Chana Sattu - 1kg,Flours & Grains,Flours,Sattu,Jalan,Chana Sattu,Jalan Flour Mills,STPLS
JH,2642,Jalan Sattu - 200g,Flours & Grains,Flours,Sattu,Jalan,Chana Sattu,Jalan Flour Mills,STPLS
JH,2528,Everest Chicken Masala - 50g,Masalas & Spices,Blended Masala,Ready Masala,Everest,Chicken Masala,Everest Food Products,STPLS
JH,2552,MDH Chicken Masala - 50g,Masalas & Spices,Blended Masala,Ready Masala,MDH,Chicken Masala,Mahashian Di Hatti,STPLS
JH,13964,MDH Chicken Masala - 7g,Masalas & Spices,Blended Masala,Ready Masala,MDH,Chicken Masala,Mahashian Di Hatti,STPLS
JH,16840,On1y Chilli Flakes - 34g,Masalas & Spices,Herbs & Seasonings,Seasonings,ON1Y,Chilli Flakes,Shakun Ayurved Pvt. Ltd,STPLS
JH,2506,Everest Kashmirilal Chilli Powder - 100g,Masalas & Spices,Straight Powder,Powdered Spices,Everest,Chilli Powder,Everest Food Products,STPLS
JH,2507,Everest Kashmirilal Chilli Powder - 50g,Masalas & Spices,Straight Powder,Powdered Spices,Everest,Chilli Powder,Everest Food Products,STPLS
JH,2509,Everest Tikhalal Chilli Powder - 100g,Masalas & Spices,Straight Powder,Powdered Spices,Everest,Chilli Powder,Everest Food Products,STPLS
JH,2514,MDH Kashmiri Mirch Pure - 50g,Masalas & Spices,Straight Powder,Powdered Spices,MDH,Chilli Powder,Mahashian Di Hatti,STPLS
JH,3288,Everest Tikhalal Chilli Powder - 50g,Masalas & Spices,Straight Powder,Powdered Spices,Everest,Chilli Powder,Everest Food Products,STPLS
JH,4591,Parrot Mirch Powder - 100g,Masalas & Spices,Straight Powder,Powdered Spices,Parrot,Chilli Powder,Hindustan Agro Products,STPLS
JH,3263,Everest Coriander Powder - 100g,Masalas & Spices,Straight Powder,Powdered Spices,Everest,Coriander Powder,Everest Food Products,STPLS
JH,3264,Everest Coriander Powder - 200g,Masalas & Spices,Straight Powder,Powdered Spices,Everest,Coriander Powder,Everest Food Products,STPLS
JH,9999,MDH Dhania Powder - 100g,Masalas & Spices,Straight Powder,Powdered Spices,MDH,Coriander Powder,Mahashian Di Hatti,STPLS
JH,4606,Parrot Coriander Powder - 200g,Masalas & Spices,Straight Powder,Powdered Spices,Parrot,Coriander Powder,Hindustan Agro Products,STPLS
JH,4578,Parrot Dhaniya Powder - 100g,Masalas & Spices,Straight Powder,Powdered Spices,Parrot,Coriander Powder,Hindustan Agro Products,STPLS
JH,13297,Bambino Dalia - 400g,Flours & Grains,Sooji & Daliya,Daliya,Bambino,Dalia,Bambino Agro Industries,STPLS
JH,3004,Date Crown Fard - 500g,Dry Fruits & Nuts,Dates & Chuhara,Dates,Date Crown,Dates,Bait Al Tamur,STPLS
JH,12903,Lion Arabian Dates - 500g - Buy 1 Get 1 Free,Dry Fruits & Nuts,Dates & Chuhara,Dates,Lion,Dates,Lion Dates,STPLS
JH,12911,Lion Kimia Dates - 500g,Dry Fruits & Nuts,Dates & Chuhara,Dates,Lion,Dates,Lion Dates,STPLS
JH,37961,Lion Qyno Dates Value Pack – Buy 250g Get 250g Extra,Dry Fruits & Nuts,Dates & Chuhara,Dates,Lion,Dates,Lion Dates,STPLS
JH,89556,Lion Arabian Dates - 250g - Buy 1 Get 1 Free,Dry Fruits & Nuts,Dates & Chuhara,Dates,Lion,Dates,Lion Dates,STPLS
JH,13307,Parrot Amchur Powder - 50g,Masalas & Spices,Straight Powder,Powdered Spices,Parrot,Dry Mango Powder,Hindustan Agro Products,STPLS
JH,3268,Everest Dry Mango Powder - 50g,Masalas & Spices,Straight Powder,Powdered Spices,Everest,Dry Mango Powder,Everest Food Products,STPLS
JH,91,Chings Schezwan Fried Rice Masala - 20g,Masalas & Spices,Blended Masala,Ready Masala,Chings,Fried Rice Masala,Tata Consumer Products,STPLS
JH,2532,Everest Garam Masala - 50g,Masalas & Spices,Blended Masala,Ready Masala,Everest,Garam Masala,Everest Food Products,STPLS
